Epoch,Loss,Accuracy
1,1.6,0.86
2,1.6,0.86
3,1.6,0.86
4,1.6,0.86
5,1.61,0.85
6,1.6,0.86
7,1.6,0.86
8,1.59,0.87
9,1.59,0.87
10,1.59,0.87
11,1.59,0.87
12,1.59,0.87
13,1.59,0.87
14,1.59,0.87
15,1.59,0.87
16,1.58,0.88
17,1.59,0.87
18,1.58,0.88
19,1.59,0.88
20,1.58,0.88
